Philippines,12.7503486,122.7312101
Italy,42.6384261,12.6742970
Afghanistan,33.7680065,66.2385139
Austria,47.5939700,14.1245600
Guernsey,49.4566233,-2.5822348
Spain,39.3260685,-4.8379791
Andorra,42.5407167,1.5732033
Slovenia,45.8133113,14.4808369
Dominican Republic,19.0974031,-70.3028026
New Zealand,-41.5000831,172.8344077
Armenia,40.7696272,44.6736646
Argentina,-34.9964963,-64.9672817
Barbados,13.1500331,-59.5250305
Burkina Faso,12.0753083,-1.6880314
Bahamas,24.7736546,-78.0000547
Belarus,53.4250605,27.6971358
Cook Islands,-16.0492781,-160.3554850
Cuba,23.0131338,-80.8328748
South Georgia and South Sandwich Islands,-54.8432857,-35.8090698
Hungary,47.1817585,19.5060937
Comoros,-12.2045176,44.2832964
North Korea,40.3736611,127.0870417
South Korea,36.6383920,127.6961188
Cayman Islands,19.5417212,-80.5667132
Malaysia,4.5693754,102.2656823
Nepal,28.1083929,84.0917139
Peru,-6.8699697,-75.0458515
Saudi Arabia,25.6242618,42.3528328
São Tomé and Príncipe,0.9713095,7.0225500
Turkmenistan,39.3763807,59.3924609
Trinidad and Tobago,10.8677845,-60.9821067
Yemen,16.3471243,47.8915271
Country of Sint Maarten,18.0423736,-63.0549948
Belize,16.8259793,-88.7600927
Serbia,44.1534121,20.5514400
Norway,60.5000209,9.0999715
Bahrain,26.1551249,50.5344606
Netherlands,52.2434979,5.6343227
Haiti,19.1399952,-72.3570972
Benin,9.5293472,2.2584408
Costa Rica,10.2735633,-84.0739102
Dominica,15.4113138,-61.3653618
The Gambia,13.4700620,-15.4900464
Guinea,10.7226226,-10.7083587
Guinea-Bissau,12.1000350,-14.9000214
Honduras,15.2572432,-86.0755145
Israel,31.5313113,34.8667654
Lebanon,33.8750629,35.8434090
Lithuania,55.3500003,23.7499997
North Macedonia,41.6171214,21.7168387
Mali,16.3700359,-2.2900239
Nauru,-0.5252306,166.9324426
Papua New Guinea,-5.6816069,144.2489081
Sudan,14.5844444,29.4917691
Luxembourg,49.8158683,6.1296751
Chad,15.6134137,19.0156172
Vietnam,13.2904027,108.4265113
South Africa,-28.8166236,24.9916390
Ecuador,-1.3397668,-79.3666965
Seychelles,-4.6574977,55.4540146
Iran,32.6475314,54.5643516
Turkey,38.9597594,34.9249653
Albania,41.0000280,19.9999619
Eswatini,-26.5624806,31.3991317
United Arab Emirates,24.0002488,53.9994829
Saint Kitts and Nevis,17.2505120,-62.6725973
Angola,-11.8775768,17.5691241
Burundi,-3.4264490,29.9324519
Bhutan,27.5495110,90.5119273
Chile,-31.7613365,-71.3187697
Cabo Verde,16.0000552,-24.0083947
Falkland Islands,-51.9492937,-59.5383657
Federated States of Micronesia,7.3737500,150.4173309
Gabon,-0.8999695,11.6899699
Guyana,4.8417097,-58.6416891
Croatia,45.5643442,17.0118954
Kazakhstan,47.2286086,65.2093197
Liberia,5.7499721,-9.3658524
Maldives,4.7064352,73.3287853
Malawi,-13.2687204,33.9301963
Mozambique,-19.3022330,34.9144977
Namibia,-23.2335499,17.3231107
Niger,17.7356214,9.3238432
